"id","name","status","created_at","updated_at"
"1","North","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"2","South Zone","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"3","East Zone","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"4","West Zone","2","0000-00-00 00:00:00","0000-00-00 00:00:00"
"5","Haryana","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"6","Delhi","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"7","Andhra Pradesh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"8","Arunachal Pradesh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"9","Assam","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"10","Bihar","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"11","Chattisgarh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"12","Goa","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"13","Gujarat","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"14","Himachal Pradesh","1","0000-00-00 00:00:00","2023-02-22 07:16:51"
"15","Jammu and Kashmir","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"16","Jharkhand","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"17","Karnataka","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"18","Kerala","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"19","Madhya Pradesh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"20","Maharashtra","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"21","Manipur","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"22","Meghalaya","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"23","Mizoram","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"24","Nagaland","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"25","Odisha","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"26","Punjab","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"27","Rajasthan","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"28","Sikkim","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"29","Tamil Nadu","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"30","Telengana","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"31","Tripura","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"32","Uttar Pradesh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"33","Uttrakhand","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"34","West Bengal","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"35","Andaman and Nicobar Islands","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"36","Chandigarh","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"37","Dadar and Nagar Haveli","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"38","Daman and Diu","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"39","Lakshwadeep","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"40","Puducherry","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"41","Nepal","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"42","Select State","1","0000-00-00 00:00:00","0000-00-00 00:00:00"
"43","Bangalore","1","2023-11-08 16:17:42","2023-11-08 16:17:42"
